x	 y	 z	 vx	 vy	 vz	 [v]
1.386193	 0.453201	 0.170414	 -0.003669	 0.012993	 0.006059	 0.014798
1.382524	 0.466194	 0.176473	 -0.003799	 0.012950	 0.006043	 0.014787
1.378725	 0.479144	 0.182515	 -0.003928	 0.012907	 0.006026	 0.014776
1.374798	 0.492051	 0.188541	 -0.004056	 0.012862	 0.006009	 0.014765
1.370742	 0.504913	 0.194551	 -0.004183	 0.012817	 0.005992	 0.014754
1.366559	 0.517730	 0.200542	 -0.004310	 0.012770	 0.005974	 0.014742
1.362249	 0.530500	 0.206516	 -0.004436	 0.012722	 0.005955	 0.014731
1.357813	 0.543222	 0.212471	 -0.004561	 0.012674	 0.005936	 0.014719
1.353251	 0.555896	 0.218408	 -0.004686	 0.012624	 0.005917	 0.014708
1.348565	 0.568520	 0.224324	 -0.004809	 0.012573	 0.005897	 0.014696
1.343756	 0.581093	 0.230221	 -0.004932	 0.012521	 0.005876	 0.014685
1.338824	 0.593614	 0.236098	 -0.005055	 0.012468	 0.005855	 0.014673
1.333769	 0.606082	 0.241953	 -0.005176	 0.012414	 0.005834	 0.014661
1.328593	 0.618496	 0.247787	 -0.005297	 0.012360	 0.005812	 0.014649
1.323297	 0.630856	 0.253599	 -0.005416	 0.012304	 0.005790	 0.014637
1.317880	 0.643160	 0.259389	 -0.005535	 0.012247	 0.005767	 0.014625
1.312345	 0.655407	 0.265156	 -0.005653	 0.012190	 0.005744	 0.014613
1.306692	 0.667597	 0.270900	 -0.005771	 0.012131	 0.005720	 0.014601
1.300921	 0.679728	 0.276620	 -0.005887	 0.012072	 0.005696	 0.014588
1.295035	 0.691799	 0.282316	 -0.006002	 0.012011	 0.005671	 0.014576
1.289032	 0.703810	 0.287987	 -0.006117	 0.011950	 0.005646	 0.014564
1.282915	 0.715760	 0.293634	 -0.006231	 0.011888	 0.005621	 0.014551
1.276684	 0.727648	 0.299255	 -0.006344	 0.011825	 0.005595	 0.014539
1.270340	 0.739473	 0.304850	 -0.006456	 0.011761	 0.005569	 0.014526
1.263885	 0.751234	 0.310419	 -0.006567	 0.011696	 0.005542	 0.014514
1.257318	 0.762930	 0.315961	 -0.006677	 0.011631	 0.005515	 0.014501
1.250641	 0.774561	 0.321476	 -0.006786	 0.011564	 0.005488	 0.014488
1.243854	 0.786125	 0.326964	 -0.006895	 0.011497	 0.005460	 0.014475
1.236959	 0.797623	 0.332424	 -0.007002	 0.011429	 0.005432	 0.014463
1.229957	 0.809052	 0.337855	 -0.007109	 0.011361	 0.005403	 0.014450
1.222848	 0.820413	 0.343258	 -0.007214	 0.011291	 0.005374	 0.014437
1.215634	 0.831704	 0.348632	 -0.007319	 0.011221	 0.005345	 0.014424
1.208314	 0.842925	 0.353976	 -0.007423	 0.011150	 0.005315	 0.014411
1.200891	 0.854075	 0.359291	 -0.007526	 0.011078	 0.005285	 0.014398
1.193366	 0.865153	 0.364576	 -0.007628	 0.011006	 0.005254	 0.014385
